# wave A(l)/A(V) unc
5.78963e-01 1.01355e+00 5.06777e-02
5.81657e-01 1.00710e+00 5.03550e-02
5.84364e-01 1.00067e+00 5.00334e-02
5.87084e-01 9.94252e-01 4.97126e-02
5.89816e-01 9.87856e-01 4.93928e-02
5.92562e-01 9.81483e-01 4.90741e-02
5.95319e-01 9.75127e-01 4.87564e-02
5.98090e-01 9.68794e-01 4.84397e-02
6.00874e-01 9.62482e-01 4.81241e-02
6.03670e-01 9.56193e-01 4.78096e-02
6.06480e-01 9.49927e-01 4.74964e-02
6.09303e-01 9.43685e-01 4.71843e-02
6.12138e-01 9.37466e-01 4.68733e-02
6.14987e-01 9.31275e-01 4.65637e-02
6.17850e-01 9.25106e-01 4.62553e-02
6.20725e-01 9.18964e-01 4.59482e-02
6.23614e-01 9.12849e-01 4.56425e-02
6.26516e-01 9.06761e-01 4.53381e-02
6.29432e-01 9.00703e-01 4.50351e-02
6.32362e-01 8.94672e-01 4.47336e-02
6.35305e-01 8.88667e-01 4.44334e-02
6.38262e-01 8.82693e-01 4.41346e-02
6.41232e-01 8.76745e-01 4.38373e-02
6.44217e-01 8.70828e-01 4.35414e-02
6.47215e-01 8.64937e-01 4.32468e-02
6.50227e-01 8.59073e-01 4.29536e-02
6.53254e-01 8.53239e-01 4.26620e-02
6.56294e-01 8.47429e-01 4.23714e-02
6.59348e-01 8.41648e-01 4.20824e-02
6.62417e-01 8.35895e-01 4.17947e-02
6.65500e-01 8.30171e-01 4.15086e-02
6.68597e-01 8.24472e-01 4.12236e-02
6.71709e-01 8.18798e-01 4.09399e-02
6.74835e-01 8.13152e-01 4.06576e-02
6.77976e-01 8.07529e-01 4.03764e-02
6.81132e-01 8.01936e-01 4.00968e-02
6.84302e-01 7.96367e-01 3.98183e-02
6.87487e-01 7.90824e-01 3.95412e-02
6.90686e-01 7.85305e-01 3.92652e-02
6.93901e-01 7.79809e-01 3.89905e-02
6.97130e-01 7.74340e-01 3.87170e-02
